ID,Hare_Sex_Dec5wVis,Hare_Sex_Feb12nr,Hare_Sex_Feb12
TCH001,Male,Male,Male
TCH002,Male,Male,Male
TCH003,Female,Female,Female
TCH004,Female,Female,Female
TCH005,Male,Male,Male
TCH006,Female,Female,Female
TCH007,Male,Male,Male
TCH008,Male,Male,Male
TCH009,Male,Male,Male
TCH010,Male,Male,Male
TCH011,Male,Male,Male
TCH012,Female,Female,Female
TCH013,Female,Male,Male
TCH014,Male,Male,Male
TCH015,Male,Male,Male
TCH016,Male,Male,Male
TCH017,Male,Male,Male
TCH018,Female,Female,Female
TCH019,Female,no reaction,Female
TCH020,Female,Female,Female
TCH021,Male,Male,Male
TCH022,Male,Male,Male
TCH023,Female,Female,Female
TCH024,Female,no reaction,Female
TCH025,Female,Female,Female
TCH026,Male,Male,Male
TCH027,Female,Female,Female
TCH028,Female,Female,Female
TCH029,Female,Female,Female
TCH030,Male,Male,Male
TCH031,Male,Male,Male
TCH032,Male,Male,Male
TCH033,Female,Female,Female
TCH034,Male,Male,Male
TCH035,Male,Male,Male
TCH036,Male,Male,Male
TCH037,Male,Male,Male
TCH038,Male,Male,Male
TCH039,Female,Female,Female
TCH040,Female,no reaction,Female
TCH041,Male,Female,Female
TCH042,Male,Male,Male
TCH043,Male,Male,Male
TCH044,Male,Male,Male
TCH045,Male,Male,Male
TCH046,Male,Male,Male
TCH047,Male,Male,Male
TCH048,Male,Male,Male
TCH049,Female,Female,Female
TCH050,Female,Female,Female
