SampleID,SubmitterSampleID,Replicate,C
18-005091-0001,TCH001,1,38.429
18-005091-0001,TCH001,2,41.954
18-005091-0001,TCH001,3,41.521
18-005091-0002,TCH002,1,40.194
18-005091-0002,TCH002,2,43.275
18-005091-0002,TCH002,3,43.76
18-005091-0003,TCH003,1,46.344
18-005091-0003,TCH003,2,43.481
18-005091-0003,TCH003,3,45.634
18-005091-0004,TCH004,1,42.569
18-005091-0004,TCH004,2,43.787
18-005091-0004,TCH004,3,41.802
18-005091-0005,TCH005,1,39.1
18-005091-0005,TCH005,2,48.009
18-005091-0005,TCH005,3,47.443
18-005091-0006,TCH006,1,40.401
18-005091-0006,TCH006,2,42.87
18-005091-0006,TCH006,3,41.629
18-005091-0007,TCH007,1,39.639
18-005091-0007,TCH007,2,41.605
18-005091-0007,TCH007,3,41.298
18-005091-0008,TCH008,1,40.274
18-005091-0008,TCH008,2,41.203
18-005091-0008,TCH008,3,40.313
18-005091-0009,TCH009,1,43.302
18-005091-0009,TCH009,2,43.405
18-005091-0009,TCH009,3,46.584
18-005091-0010,TCH010,1,42.019
18-005091-0010,TCH010,2,44.775
18-005091-0010,TCH010,3,46.817
18-005091-0011,TCH011,1,40.617
18-005091-0011,TCH011,2,44.896
18-005091-0011,TCH011,3,48.217
18-005091-0012,TCH012,1,40.309
18-005091-0012,TCH012,2,40.128
18-005091-0012,TCH012,3,40.871
18-005091-0013,TCH013,1,43.099
18-005091-0013,TCH013,2,39.508
18-005091-0013,TCH013,3,41.491
18-005091-0014,TCH014,1,43.603
18-005091-0014,TCH014,2,46.317
18-005091-0014,TCH014,3,45.876
18-005091-0015,TCH015,1,41.948
18-005091-0015,TCH015,2,41.252
18-005091-0015,TCH015,3,46.381
18-005091-0016,TCH016,1,44.899
18-005091-0016,TCH016,2,44.374
18-005091-0016,TCH016,3,43.868
18-005091-0017,TCH017,1,41.36
18-005091-0017,TCH017,2,42.567
18-005091-0017,TCH017,3,40.071
18-005091-0018,TCH018,1,42.489
18-005091-0018,TCH018,2,44.918
18-005091-0018,TCH018,3,40.914
18-005091-0019,TCH019,1,43.323
18-005091-0019,TCH019,2,38.29
18-005091-0019,TCH019,3,41.083
18-005091-0020,TCH020,1,48.288
18-005091-0020,TCH020,2,43.889
18-005091-0020,TCH020,3,48.011
18-005091-0021,TCH021,1,40.902
18-005091-0021,TCH021,2,42.601
18-005091-0021,TCH021,3,42.268
18-005091-0022,TCH022,1,46.37
18-005091-0022,TCH022,2,43.048
18-005091-0022,TCH022,3,45.61
18-005091-0023,TCH023,1,42.319
18-005091-0023,TCH023,2,40.434
18-005091-0023,TCH023,3,45.062
18-005091-0024,TCH024,1,45.865
18-005091-0024,TCH024,2,46.079
18-005091-0024,TCH024,3,42.146
18-005091-0025,TCH025,1,42.725
18-005091-0025,TCH025,2,41.655
18-005091-0025,TCH025,3,40.273
18-005091-0026,TCH026,1,41.115
18-005091-0026,TCH026,2,40.969
18-005091-0026,TCH026,3,44.218
18-005091-0027,TCH027,1,46.046
18-005091-0027,TCH027,2,45.1
18-005091-0027,TCH027,3,44.95
18-005091-0028,TCH028,1,43.346
18-005091-0028,TCH028,2,44.092
18-005091-0028,TCH028,3,45.446
18-005091-0029,TCH029,1,43.202
18-005091-0029,TCH029,2,34.987
18-005091-0029,TCH029,3,42.018
18-005091-0030,TCH030,1,42.594
18-005091-0030,TCH030,2,44.378
18-005091-0030,TCH030,3,43.572
18-005091-0031,TCH031,1,44.608
18-005091-0031,TCH031,2,45.492
18-005091-0031,TCH031,3,43.475
18-005091-0032,TCH032,1,48.307
18-005091-0032,TCH032,2,47.78
18-005091-0032,TCH032,3,45.993
18-005091-0033,TCH033,1,42.486
18-005091-0033,TCH033,2,43.412
18-005091-0033,TCH033,3,46.645
18-005091-0034,TCH034,1,46.564
18-005091-0034,TCH034,2,42.987
18-005091-0034,TCH034,3,48.112
18-005091-0035,TCH035,1,45.226
18-005091-0035,TCH035,2,48.754
18-005091-0035,TCH035,3,47.815
18-005091-0036,TCH036,1,44.267
18-005091-0036,TCH036,2,49.868
18-005091-0036,TCH036,3,46.556
18-005091-0037,TCH037A,1,48.606
18-005091-0037,TCH037A,2,52.079
18-005091-0037,TCH037A,3,49.995
18-005091-0038,TCH037B,1,47.36
18-005091-0038,TCH037B,2,45.206
18-005091-0038,TCH037B,3,50.378
18-005091-0039,TCH037C,1,50.692
18-005091-0039,TCH037C,2,50.212
18-005091-0039,TCH037C,3,52.979
18-005091-0040,TCH038,1,35.446
18-005091-0040,TCH038,2,39.52
18-005091-0040,TCH038,3,37.409
18-005091-0041,TCH039,1,47.133
18-005091-0041,TCH039,2,40.247
18-005091-0041,TCH039,3,42.361
18-005091-0042,TCH040A,1,42.416
18-005091-0042,TCH040A,2,40.068
18-005091-0042,TCH040A,3,40.026
18-005091-0043,TCH040B,1,43.61
18-005091-0043,TCH040B,2,40.942
18-005091-0043,TCH040B,3,42.447
18-005091-0044,TCH040C,1,43.266
18-005091-0044,TCH040C,2,42.781
18-005091-0044,TCH040C,3,42.135
18-005091-0045,TCH041,1,42.03
18-005091-0045,TCH041,2,47.63
18-005091-0045,TCH041,3,46.214
18-005091-0046,TCH042A,1,42.431
18-005091-0046,TCH042A,2,44.798
18-005091-0046,TCH042A,3,46.777
18-005091-0047,TCH042B,1,45.219
18-005091-0047,TCH042B,2,43.833
18-005091-0047,TCH042B,3,41.737
18-005091-0048,TCH042C,1,46.245
18-005091-0048,TCH042C,2,45.772
18-005091-0048,TCH042C,3,44.211
18-005091-0049,TCH043,1,41.413
